,EG_Locus tag,Gene,old_locus_tag,Product,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
sgRNA1569,WQ49_RS02850,WQ49_RS02850,BCAM1437,MarR family transcriptional regulator,105.5232576,0.033252978,0.245896801,-0.135231439,0.892428891,0.999054806
sgRNA1570,WQ49_RS03130,WQ49_RS03130,BCAM1495,universal stress protein A,814.9763988,0.000771333,0.152798574,-0.005048036,0.995972267,0.999054806
sgRNA1571,WQ49_RS03420,WQ49_RS03420,WQ49_03425,lipoprotein,718.5140548,-0.076822788,0.157527358,0.487679026,0.62577721,0.999054806
sgRNA1572,WQ49_RS03740,WQ49_RS03740,BCAM1610,short-chain dehydrogenase,444.6855531,0.111498599,0.166195505,-0.670888179,0.502291767,0.999054806
sgRNA1573,WQ49_RS04030,WQ49_RS04030,BCAM1668,hypothetical protein,384.1621231,0.117987908,0.188584863,-0.625648875,0.531545273,0.999054806
sgRNA1574,WQ49_RS04135,WQ49_RS04135,BCAM1687,uroporphyrin-III C-methyltransferase,149.9191504,0.066451245,0.217450851,-0.305592022,0.759915295,0.999054806
sgRNA1575,WQ49_RS04315,WQ49_RS04315,BCAM1723,hypothetical protein,596.3220786,-0.026115805,0.148683348,0.175647142,0.860571164,0.999054806
sgRNA1576,WQ49_RS04585,WQ49_RS04585,BCAM1775,transglycosylase,478.6484777,-0.084392739,0.158942764,0.530963076,0.595444366,0.999054806
sgRNA1577,WQ49_RS04805,WQ49_RS04805,BCAM1819,urea transporter,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1578,WQ49_RS05015,WQ49_RS05015,BCAM1863,hypothetical protein,132.1279067,-0.198917964,0.242416194,0.820563845,0.411894749,0.999054806
sgRNA1579,WQ49_RS05405,WQ49_RS05405,BCAM1950,LysR family transcriptional regulator,149.4107738,0.052255415,0.219417454,-0.238155234,0.811760697,0.999054806
sgRNA1580,WQ49_RS05875,WQ49_RS05865,BCAM2042,lytic transglycosylase,726.9047924,0.073221439,0.141537095,-0.517330379,0.604925551,0.999054806
sgRNA1581,WQ49_RS06240,WQ49_RS06220,BCAM2117,LysR family transcriptional regulator,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1582,WQ49_RS07585,WQ49_RS07585,BCAM2381,#N/A,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1583,WQ49_RS07680,WQ49_RS07670,BCAS0676,hypothetical protein,311.422616,-0.232679368,0.172473273,1.349074925,0.177312902,0.999054806
sgRNA1585,WQ49_RS08710,WQ49_RS08710,7.79439E+13,#N/A,558.7339921,0.166921993,0.15340778,-1.088093403,0.276553876,0.999054806
sgRNA1586,WQ49_RS09335,WQ49_RS09335,7.53894E+13,#N/A,391.0735824,-0.046649728,0.167511864,0.278486115,0.780639222,0.999054806
sgRNA1587,WQ49_RS09345,WQ49_RS09340,BCAS0384,D-2-hydroxyacid dehydrogenase,285.1324937,0.135364703,0.190290104,-0.711359659,0.476861391,0.999054806
sgRNA1588,WQ49_RS09555,WQ49_RS09555,BCAS0342,sulfonate ABC transporter substrate-binding protein,5.266080166,0.26577136,0.976424407,-0.272188362,0.78547719,0.999054806
sgRNA1589,WQ49_RS10035,WQ49_RS10025,BCAS0244,hypothetical protein,189.7419495,-0.155099555,0.208658576,0.743317423,0.457289526,0.999054806
sgRNA1590,WQ49_RS10785,WQ49_RS10785,7.19946E+13,hypothetical protein,757.8746132,-0.057517584,0.143791793,0.400006025,0.689152079,0.999054806
sgRNA1591,WQ49_RS11285,WQ49_RS11285,BCAS0003,chromosome partitioning protein,419.0695805,0.166350352,0.195903917,-0.849142551,0.395801975,0.999054806
sgRNA1592,WQ49_RS11570,WQ49_RS11570,BCAL0394,uracil-DNA glycosylase,249.7473777,-0.117420837,0.184728914,0.635638645,0.525011975,0.999054806
sgRNA1593,WQ49_RS11660,WQ49_RS11660,BCAL0375,glutamyl-tRNA reductase,509.1403704,-0.11455645,0.155403387,0.737155428,0.461027836,0.999054806
sgRNA1594,WQ49_RS12205,WQ49_RS12205,BCAL0265,GTP-binding protein,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1595,WQ49_RS12800,WQ49_RS12800,BCAL3524,general secretion pathway protein GspC,1503.830221,-0.09702062,0.12696442,0.764155972,0.4447743,0.999054806
sgRNA1596,WQ49_RS12975,WQ49_RS12960,BCAL0027,chromosome partitioning protein ParB,116.5705074,-0.068568956,0.246345758,0.278344376,0.780748014,0.999054806
sgRNA1597,WQ49_RS12990,WQ49_RS12990,BCAL0030,ATP synthase subunit A,1171.184426,-0.057080713,0.132523926,0.43072006,0.666671931,0.999054806
sgRNA1598,WQ49_RS12995,WQ49_RS12995,BCAL0031,F0F1 ATP synthase subunit C,6.26930392,0.244246802,0.896757917,-0.272366486,0.785340239,0.999054806
sgRNA1599,WQ49_RS13000,WQ49_RS13000,BCAL0032,ATP synthase subunit b,855.0074834,-0.017880078,0.144493094,0.123743478,0.901518386,0.999054806
sgRNA1600,WQ49_RS13040,WQ49_RS13040,BCAL0040,uroporphyrinogen decarboxylase,662.6151138,0.04117566,0.152891719,-0.269312555,0.787689171,0.999054806
sgRNA1601,WQ49_RS13045,WQ49_RS13045,BCAL0041,primosome assembly protein PriA,305.3391322,0.088254228,0.172732309,-0.510930633,0.60939963,0.999054806
sgRNA1602,WQ49_RS13280,WQ49_RS13280,BCAL0086,#N/A,284.6590993,0.020955751,0.178271718,-0.117549497,0.906424623,0.999054806
sgRNA1603,WQ49_RS14005,WQ49_RS14005,pBCA094,twitching motility protein PilT,296.0121462,0.104170811,0.179551821,-0.580171285,0.561799116,0.999054806
sgRNA1604,WQ49_RS14200,WQ49_RS14200,8.01452E+13,#N/A,621.0953227,-0.110904204,0.147871221,0.750005333,0.453251493,0.999054806
sgRNA1605,WQ49_RS14675,WQ49_RS14675,BCAM1362,cell division protein,433.1989248,0.043322925,0.156878309,-0.276156245,0.782428062,0.999054806
sgRNA1606,WQ49_RS15060,WQ49_RS15055,BCAM1285,hypothetical protein,346.7430727,0.080055918,0.168412864,-0.475355122,0.634533876,0.999054806
sgRNA1607,WQ49_RS15825,WQ49_RS15825,BCAM1131,LysR family transcriptional regulator,336.9864842,-0.208564998,0.182045353,1.145676034,0.251929224,0.999054806
sgRNA1608,WQ49_RS16220,WQ49_RS16220,BCAM1050,hypothetical protein,386.7842754,-0.26134255,0.164647763,1.587282721,0.112448627,0.999054806
sgRNA1609,WQ49_RS16915,WQ49_RS16915,BCAM0913,tRNA N6-adenosine threonylcarbamoyltransferase,345.2914099,-0.006391573,0.170751644,0.037431983,0.970140572,0.999054806
sgRNA1610,WQ49_RS17870,WQ49_RS17870,BCAM0716,hypothetical protein,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1611,WQ49_RS18170,WQ49_RS18170,BCAM0654,AraC family transcriptional regulator,156.7582217,-0.107600705,0.213845932,0.503169286,0.614845257,0.999054806
sgRNA1612,WQ49_RS18210,WQ49_RS18210,BCAM0646,4-oxalocrotonate tautomerase,166.0300228,0.152311007,0.208841089,-0.729315325,0.4658088,0.999054806
sgRNA1613,WQ49_RS18505,WQ49_RS18505,BCAM0588,MarR family transcriptional regulator,5.495519846,-0.131719265,0.956539146,0.137703998,0.890474359,0.999054806
sgRNA1614,WQ49_RS19375,WQ49_RS19375,BCAM0414,hypothetical protein,230.1137193,-0.2235896,0.188208287,1.187990194,0.234837273,0.999054806
sgRNA1615,WQ49_RS20045,WQ49_RS20045,BCAM0279,nitroreductase,242.0357022,0.089506437,0.18482449,-0.484278016,0.628188576,0.999054806
sgRNA1616,WQ49_RS22430,WQ49_RS22425,BCAM2647,membrane protein,423.2259547,0.049019579,0.159333781,-0.307653394,0.758346087,0.999054806
sgRNA1617,WQ49_RS23265,WQ49_RS23265,BCAL0423a,50S ribosomal protein L34,1095.297305,-0.193491964,0.135950138,1.423256841,0.154661714,0.999054806
sgRNA1618,WQ49_RS23510,WQ49_RS23500,BCAL0472,XRE family transcriptional regulator,457.014096,0.021348269,0.168164951,-0.126948383,0.898981252,0.999054806
sgRNA1619,WQ49_RS23700,WQ49_RS23700,BCAL0509,S-adenosylmethionine synthase,397.0653789,0.1644014,0.168097919,-0.978009728,0.328069513,0.999054806
sgRNA1620,WQ49_RS24230,WQ49_RS24230,BCAL0616,hypothetical protein,394.6490155,0.285211578,0.164019996,-1.738882974,0.08205535,0.999054806
sgRNA1621,WQ49_RS24420,WQ49_RS24420,BCAL0655,copper homeostasis protein CutC,145.5841346,-0.125474995,0.221718605,0.565920008,0.571448159,0.999054806
sgRNA1622,WQ49_RS24600,WQ49_RS24600,BCAL0691,"bifunctional protein RfaE, domain II",144.5365844,-0.175470352,0.218682118,0.802399181,0.422322087,0.999054806
sgRNA1623,WQ49_RS24810,WQ49_RS24810,BCAL0734,PTS fructose transporter subunit IIA,203.5315671,0.084016223,0.198274937,-0.423735971,0.671758379,0.999054806
sgRNA1624,WQ49_RS24980,WQ49_RS24980,BCAL0768,recombinase RecA,233.0209838,0.179213631,0.190142651,-0.942521993,0.345925457,0.999054806
sgRNA1625,WQ49_RS25115,WQ49_RS25115,BCAL0795,phosphopantetheine adenylyltransferase,319.0951206,-0.034790829,0.170033518,0.204611591,0.837875599,0.999054806
sgRNA1626,WQ49_RS25270,WQ49_RS25265,BCAL0827,single-stranded DNA-binding protein,238.2768894,-0.102382765,0.185301494,0.552519914,0.580592194,0.999054806
sgRNA1627,WQ49_RS25515,WQ49_RS25510,BCAL0876,ubiquinone biosynthesis protein UbiB,286.1818938,-0.108009254,0.174493207,0.618988302,0.535924065,0.999054806
sgRNA1628,WQ49_RS25605,WQ49_RS25605,BCAL0894,LPS-assembly protein LptD,178.6000198,0.198600616,0.204638771,-0.970493591,0.331800518,0.999054806
sgRNA1629,WQ49_RS26025,WQ49_RS26010,BCAL2835,translation factor Sua5,5.769381125,0.009387214,0.934967541,-0.01004015,0.991989254,0.999054806
sgRNA1630,WQ49_RS26350,WQ49_RS26350,BCAL2770,glycerol-3-phosphate acyltransferase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1631,WQ49_RS26360,WQ49_RS26360,BCAL2768,UDP-N-acetylmuramate dehydrogenase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1632,WQ49_RS26370,WQ49_RS26370,BCAL2766,hypothetical protein,425.8378873,-0.03921586,0.180315355,0.217484864,0.827830501,0.999054806
sgRNA1633,WQ49_RS26380,WQ49_RS26380,BCAL2764,membrane protein,319.5092048,-0.271358763,0.178291116,1.521998229,0.128009525,0.999054806
sgRNA1634,WQ49_RS26415,WQ49_RS26415,BCAL2757,superoxide dismutase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1635,WQ49_RS26645,WQ49_RS26640,BCAL2710,ispH,213.8246829,0.032575991,0.201081716,-0.162003746,0.871302904,0.999054806
sgRNA1636,WQ49_RS26820,WQ49_RS26825,BCAL2677,permease,142.4445295,0.057003783,0.226680899,-0.251471487,0.801449604,0.999054806
sgRNA1637,WQ49_RS26855,WQ49_RS26850,BCAL2670,diacylglyceryl transferase,1074.712545,-0.025744831,0.143421328,0.179504896,0.857541273,0.999054806
sgRNA1638,WQ49_RS26990,WQ49_RS26990,BCAL2642,dcd,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1639,WQ49_RS27090,WQ49_RS27090,BCAL2622,inorganic pyrophosphatase,123.8780629,-0.030980334,0.248684332,0.124576945,0.900858481,0.999054806
sgRNA1640,WQ49_RS27545,WQ49_RS27545,BCAL2406,heptosyltransferase,234.2920741,0.179706803,0.185996499,-0.966183791,0.333952222,0.999054806
sgRNA1641,WQ49_RS27805,WQ49_RS27805,BCAL2356,phosphatidylserine decarboxylase proenzyme,785.8350972,-0.087346184,0.141824447,0.615875372,0.537976777,0.999054806
sgRNA1642,WQ49_RS27860,WQ49_RS27855,BCAL2345,preprotein translocase subunit SecG,287.5304699,0.117821915,0.174483015,-0.67526295,0.499508719,0.999054806
sgRNA1643,WQ49_RS27870,WQ49_RS27870,BCAL2344,NADH-quinone oxidoreductase subunit A,497.1850812,0.091899327,0.157227499,-0.58449907,0.558884591,0.999054806
sgRNA1644,WQ49_RS27875,WQ49_RS27875,BCAL2343,NADH-quinone oxidoreductase subunit B,481.4704979,0.00470823,0.157099373,-0.02996976,0.976091171,0.999054806
sgRNA1645,WQ49_RS27890,WQ49_RS27890,BCAL2340,NADH dehydrogenase subunit E,792.7310636,0.04914178,0.146050171,-0.336471912,0.736515029,0.999054806
sgRNA1646,WQ49_RS28490,WQ49_RS28490,BCAL2224,glnA,299.0244861,0.254589259,0.175575139,-1.450030227,0.14705009,0.999054806
sgRNA1647,WQ49_RS28645,WQ49_RS28640,BCAL2197,Fe-S cluster assembly scaffold IscU,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1648,WQ49_RS28655,WQ49_RS28655,BCAL2195,hscB,1876.951463,0.123211377,0.140984883,-0.873933251,0.382154605,0.999054806
sgRNA1651,WQ49_RS28900,WQ49_RS28900,BCAL2146,aspartate kinase,589.7110025,0.015977335,0.155225948,-0.102929539,0.918018893,0.999054806
sgRNA1652,WQ49_RS29015,WQ49_RS29015,BCAL2126,glutamate--tRNA ligase,529.7475898,-0.037796388,0.149497595,0.252822715,0.800405214,0.999054806
sgRNA1653,WQ49_RS29105,WQ49_RS29105,BCAL2115A,tRNA threonylcarbamoyl adenosine modification protein YeaZ,2713.277499,-0.062175932,0.120887056,0.514330764,0.607020757,0.999054806
sgRNA1654,WQ49_RS29195,WQ49_RS29195,BCAL2098,chromosome partitioning protein Smc,53.42185323,0.03127382,0.327731427,-0.095425147,0.923977143,0.999054806
sgRNA1655,WQ49_RS29205,WQ49_RS29205,BCAL2096,ligA,979.9792583,0.091413323,0.170039355,-0.537600976,0.590852556,0.999054806
sgRNA1656,WQ49_RS29235,WQ49_RS29235,BCAL2090,elongation factor Ts,2606.602154,0.13082126,0.154292097,-0.847880495,0.396504528,0.999054806
sgRNA1657,WQ49_RS29380,WQ49_RS29380,BCAL2061,guaA,2111.874651,-0.030253231,0.125850982,0.240389313,0.810028462,0.999054806
sgRNA1658,WQ49_RS29605,WQ49_RS29605,BCAL2016,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,233.4066047,0.162461325,0.187235792,-0.867683061,0.385567861,0.999054806
sgRNA1659,WQ49_RS29725,WQ49_RS29725,BCAL1994,peptidase,1764.8969,-0.010137588,0.129900934,0.078040917,0.937795505,0.999054806
sgRNA1660,WQ49_RS29975,WQ49_RS29975,BCAL1945,30S ribosomal protein S6,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1661,WQ49_RS29995,WQ49_RS29995,BCAL1941,DNA helicase,3431.063311,-0.178817425,0.125914457,1.420150066,0.155563997,0.999054806
sgRNA1662,WQ49_RS30075,WQ49_RS30065,BCAL1925,threonine synthase,1037.216454,0.015840159,0.14781824,-0.107159702,0.914662284,0.999054806
sgRNA1663,WQ49_RS30205,WQ49_RS30205,BCAL1899,DNA polymerase III subunit gamma/tau,1731.84002,-0.013046275,0.126687173,0.102980236,0.917978657,0.999054806
sgRNA1664,WQ49_RS30265,WQ49_RS30265,BCAL1887,nucleoside diphosphate kinase,498.5096847,0.051668996,0.193825735,-0.266574486,0.789796802,0.999054806
sgRNA1665,WQ49_RS30280,WQ49_RS30280,BCAL1884,ispG,4450.053213,0.128386438,0.118025332,-1.087787134,0.27668909,0.999054806
sgRNA1666,WQ49_RS30300,WQ49_RS30300,BCAL1880,ribosome-associated GTPase EngA,1592.810654,-0.047712995,0.14840985,0.321494798,0.747835454,0.999054806
sgRNA1667,WQ49_RS30305,WQ49_RS30305,BCAL1879,RNA chaperone Hfq,1344.182651,-0.055357393,0.154474989,0.358358289,0.720075202,0.999054806
sgRNA1668,WQ49_RS30405,WQ49_RS30405,2.05076E+13,hypothetical protein,413.674573,0.012500218,0.172479277,-0.07247374,0.942224903,0.999054806
sgRNA1669,WQ49_RS31200,WQ49_RS31195,BCAL1707,cobalamin biosynthesis protein CbiG,1336.788967,-0.029561175,0.129041931,0.229081937,0.818805233,0.999054806
sgRNA1670,WQ49_RS31260,WQ49_RS31260,BCAL1695,peptide ABC transporter ATP-binding protein,709.4635481,0.136790827,0.141222132,-0.968621734,0.332733956,0.999054806
sgRNA1671,WQ49_RS31470,WQ49_RS31470,BCAL1651,LexA repressor,5.745481244,0.002505278,0.934994366,-0.002679458,0.997862105,0.999054806
sgRNA1672,WQ49_RS31685,WQ49_RS31685,BCAL1611,dihydroorotate dehydrogenase,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1673,WQ49_RS31780,WQ49_RS31760,BCAL1590,hypothetical protein,5.50772234,0.142204772,0.955283907,-0.148861266,0.881663106,0.999054806
sgRNA1674,WQ49_RS32505,WQ49_RS32505,BCAL1448,valyl-tRNA synthetase,356.4135082,0.068326096,0.168840059,-0.404679417,0.685713174,0.999054806
sgRNA1675,WQ49_RS32510,WQ49_RS32510,BCAL1447,UTP--glucose-1-phosphate uridylyltransferase,767.9800605,-0.003643961,0.147830498,0.024649592,0.980334462,0.999054806
sgRNA1676,WQ49_RS32685,WQ49_RS32685,BCAL1413,glutaminyl-tRNA synthetase,721.8100389,-0.005949721,0.144081229,0.041294213,0.967061346,0.999054806
sgRNA1677,WQ49_RS33435,WQ49_RS33435,BCAL1254,DNA polymerase III subunit epsilon,492.0403923,0.101370045,0.153585379,-0.66002406,0.509238389,0.999054806
sgRNA1678,WQ49_RS34105,WQ49_RS34105,BCAL1103,hypothetical protein,333.3852363,0.077426961,0.174761297,-0.443044097,0.657733839,0.999054806
sgRNA1679,WQ49_RS34545,WQ49_RS34545,BCAL2857,hypothetical protein,466.5628214,0.005249529,0.163238289,-0.032158689,0.974345501,0.999054806
sgRNA1681,WQ49_RS34755,WQ49_RS34755,BCAL2899,ferredoxin,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1682,WQ49_RS35065,WQ49_RS35065,BCAL2959,ubiquinone biosynthesis O-methyltransferase,32.82185809,-0.030670586,0.407808926,0.075208227,0.940049039,0.999054806
sgRNA1685,WQ49_RS32205,nusA [Control],BCAL1506,0,543.0524564,-0.167408446,0.157441501,1.063305708,0.287643338,0.999054806
sgRNA1686,WQ49_RS00765,NUDIX hydrolase,BCAL3328,0,92.84455432,0.041821504,0.271169596,-0.154226375,0.877431246,0.999054806
sgRNA1687,0,LuxR Transcriptional Regulator,BCAM1545,0,202.290073,-0.071347393,0.195654143,0.364660782,0.715364637,0.999054806
sgRNA1688,0,glycosyl trasnferase 5th gene op,BCAM2338,0,159.7170797,0.107359106,0.210703632,-0.509526604,0.610383155,0.999054806
sgRNA1689,0,hypothetical,6.50704E+13,0,272.0059993,-0.053458591,0.17753425,0.301117057,0.763325235,0.999054806
sgRNA1690,0,hypothetical 5th gene op,BCAM1066,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1691,0,SMC-Scp Complex subunit,BCAL1503,0,135.5510507,0.202685722,0.225217423,-0.899955784,0.368143782,0.999054806
sgRNA1692,0,alpha/beta hydrolase 7th gene op,BCAM2699,0,130.1526706,0.364870073,0.229774281,-1.587950015,0.112297642,0.999054806
sgRNA1693,0,nusA [Control],BCAL1506,0,81.49996119,-0.247072221,0.27779146,0.889416186,0.373779449,0.999054806
sgRNA1694,WQ49_RS00765,NUDIX hydrolase,BCAL3328,0,142.5553454,0.230225249,0.226727127,-1.015428773,0.309901483,0.999054806
sgRNA1695,0,LuxR Transcriptional Regulator,BCAM1545,0,133.1960072,-0.266392635,0.237255888,1.122807265,0.261519359,0.999054806
sgRNA1696,0,glycosyl trasnferase 5th gene op,BCAM2338,0,270.6542583,-0.148713603,0.179910898,0.826595859,0.408466165,0.999054806
sgRNA1697,0,hypothetical,6.50704E+13,0,433.0492367,0.067647999,0.163267326,-0.414338868,0.678625953,0.999054806
sgRNA1698,0,hypothetical 5th gene op,BCAM1066,0,205.5851684,-0.068762136,0.196426751,0.350065025,0.726289898,0.999054806
sgRNA1699,0,SMC-Scp Complex subunit,BCAL1503,0,85.2929987,0.111250393,0.269777465,-0.412378376,0.68006211,0.999054806
sgRNA1700,0,alpha/beta hydrolase 7th gene op,BCAM2699,0,195.2724251,0.003506006,0.196726032,-0.017821771,0.985781037,0.999054806
sgRNA1701,0,nusA [Control],BCAL1506,0,161.9417727,0.210663929,0.217490613,-0.968611592,0.332739017,0.999054806
sgRNA1702,0,NUDIX hydrolase,BCAL3328,0,250.8222063,0.126531778,0.196638932,-0.643472669,0.519917443,0.999054806
sgRNA1703,0,LuxR Transcriptional Regulator,BCAM1545,0,82.42463605,0.138651557,0.271772997,-0.510174148,0.609929462,0.999054806
sgRNA1704,0,glycosyl trasnferase 5th gene op,BCAM2338,0,9.908302178,-0.007573666,0.717938145,0.01054919,0.991583121,0.999054806
sgRNA1705,0,hypothetical,6.50704E+13,0,118.3337959,0.468014132,0.238367633,-1.963413097,0.049598193,0.999054806
sgRNA1706,0,hypothetical 5th gene op,BCAM1066,0,144.9507463,-0.044040395,0.220465255,0.199761161,0.841667378,0.999054806
sgRNA1707,0,SMC-Scp Complex subunit,BCAL1503,0,85.99586142,0.004818739,0.283952908,-0.016970204,0.986460386,0.999054806
sgRNA1708,0,alpha/beta hydrolase 7th gene op,BCAM2699,0,160.4067338,0.049968451,0.212303508,-0.235363282,0.813926782,0.999054806
sgRNA1742,0,WQ49_RS00050,BCAL3469,0,490.8660772,0.11852601,0.152235895,-0.77856809,0.436234182,0.999054806
sgRNA1743,0,WQ49_RS00050,BCAL3469,0,733.4073546,0.004320989,0.140730504,-0.030703996,0.975505604,0.999054806
sgRNA1744,0,WQ49_RS00885,BCAL3305,0,243.0491039,0.01659643,0.190377763,-0.087176305,0.930531373,0.999054806
sgRNA1745,0,WQ49_RS00885,BCAL3305,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1746,0,WQ49_RS01035,BCAL3270,0,191.1089003,0.02770831,0.209311142,-0.13237857,0.894684864,0.999054806
sgRNA1747,0,WQ49_RS01035,BCAL3270,0,217.0653278,-0.02342352,0.191614295,0.122243074,0.902706514,0.999054806
sgRNA1748,0,WQ49_RS02920,BCAM1451,0,5.733783856,0.257711881,0.936745606,-0.275114054,0.783228615,0.999054806
sgRNA1749,0,WQ49_RS02920,BCAM1451,0,72.37169468,0.137747915,0.297499199,-0.463019447,0.643350428,0.999054806
sgRNA1750,0,WQ49_RS03160,BCAM1502,0,119.1904258,-0.135227896,0.237106714,0.570325039,0.568457261,0.999054806
sgRNA1751,0,WQ49_RS03160,BCAM1502,0,136.4491095,-0.033016369,0.231227509,0.142787373,0.88645811,0.999054806
sgRNA1752,0,WQ49_RS03550 (WQ49_RS03555),5.625E+13,0,183.7448347,0.162652488,0.203084977,-0.800908516,0.42318461,0.999054806
sgRNA1753,0,WQ49_RS03550 (WQ49_RS03555),5.625E+13,0,187.2146457,-0.034274919,0.20259673,0.169178045,0.865656599,0.999054806
sgRNA1754,0,WQ49_RS03805 (WQ49_RS03870),BCAM1624,0,782.6095841,-0.105190352,0.138883821,0.757398176,0.448811349,0.999054806
sgRNA1755,0,WQ49_RS03805 (WQ49_RS03870),BCAM1624,0,83.77918765,0.040192351,0.273161403,-0.147137738,0.883023303,0.999054806
sgRNA1756,0,WQ49_RS04450 (WQ49_RS04445),BCAM1749,0,5.266080166,0.26577136,0.976424407,-0.272188362,0.78547719,0.999054806
sgRNA1757,0,WQ49_RS04450 (WQ49_RS04445),BCAM1749,0,64.90013079,-0.228007022,0.302429722,0.753917374,0.450898838,0.999054806
sgRNA1758,0,WQ49_RS09185 (WQ49_RS09185),BCAS0417,0,126.6214324,-0.087430849,0.236987606,0.368925828,0.712183011,0.999054806
sgRNA1759,0,WQ49_RS09185 (WQ49_RS09185),BCAS0417,0,110.1594812,0.27472674,0.250564508,-1.096431183,0.272890124,0.999054806
sgRNA1760,0,WQ49_RS10495,BCAS0158,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1761,0,WQ49_RS10495,BCAS0158,0,19.23429474,0.292558756,0.538006494,-0.543782945,0.586590846,0.999054806
sgRNA1762,0,WQ49_RS11915 (WQ49_RS11920),BCAL0324,0,158.6190592,-0.130569029,0.213822512,0.610642105,0.541436542,0.999054806
sgRNA1763,0,WQ49_RS11915 (WQ49_RS11920),BCAL0324,0,136.0253223,-0.034469772,0.230148795,0.149771684,0.88094475,0.999054806
sgRNA1764,0,WQ49_RS12045 (WQ49_RS12050),BCAL0298,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1765,0,WQ49_RS12045 (WQ49_RS12050),BCAL0298,0,185.9204171,-0.069716128,0.204481995,0.340940178,0.733148617,0.999054806
sgRNA1766,0,WQ49_RS12280 (WQ49_RS12310),BCAL0250,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1767,0,WQ49_RS12280 (WQ49_RS12310),BCAL0250,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1768,0,WQ49_RS12315 (WQ49_RS12360),BCAL0243,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1769,0,WQ49_RS12315 (WQ49_RS12360),BCAL0243,0,5.289980047,0.272896502,0.9762987,-0.279521525,0.779844621,0.999054806
sgRNA1770,0,WQ49_RS12365,BCAL0233,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1771,0,WQ49_RS12365,BCAL0233,0,193.436545,-0.143687445,0.198608008,0.723472565,0.469389604,0.999054806
sgRNA1772,0,WQ49_RS18705,BCAM0549,0,1980.92572,0.017944781,0.149939362,-0.119680255,0.904736442,0.999054806
sgRNA1773,0,WQ49_RS18705,BCAM0549,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1774,0,WQ49_RS23945 (WQ49_RS23940),BCAL0558,0,226.9154719,0.003244211,0.196440666,-0.016514968,0.986823561,0.999054806
sgRNA1775,0,WQ49_RS23945 (WQ49_RS23940),BCAL0558,0,5.016118769,0.131658348,0.999119457,-0.131774381,0.895162751,0.999054806
sgRNA1776,0,WQ49_RS24070,BCAL0585,0,134.1936446,0.162640497,0.22498818,-0.72288463,0.469750767,0.999054806
sgRNA1777,0,WQ49_RS24070,BCAL0585,0,191.6618601,0.110189662,0.207668701,-0.530603126,0.595693829,0.999054806
sgRNA1778,0,WQ49_RS25525,BCAL0878,0,39.53551851,0.03961107,0.37666754,-0.105161888,0.916247352,0.999054806
sgRNA1779,0,WQ49_RS25525,BCAL0878,0,82.0255995,0.09763968,0.277368032,-0.352022112,0.724821679,0.999054806
sgRNA1780,0,WQ49_RS25680,BCAL0909,0,729.576537,0.131135365,0.141776294,-0.924945637,0.354994186,0.999054806
sgRNA1781,0,WQ49_RS25680,BCAL0909,0,517.3357658,-0.002247089,0.150955624,0.014885756,0.988123323,0.999054806
sgRNA1782,0,WQ49_RS26625 (WQ49_RS26630),BCAL2715,0,5.769381125,0.009387214,0.934967541,-0.01004015,0.991989254,0.999054806
sgRNA1783,0,WQ49_RS26625 (WQ49_RS26630),BCAL2715,0,368.6719474,0.019366845,0.175845959,-0.110135285,0.912302085,0.999054806
